Price,Year,Kilometer,Transmission,Owner,Engine,Max Power,Max Torque,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity
505000,2017,87150,1,0,1198.0,87.0,109.0,0.0,3990.0,1680.0,1505.0,5.0,35.0
220000,2011,67000,1,0,1197.0,79.0,112.0,0.0,3585.0,1595.0,1550.0,5.0,35.0
799000,2019,37500,1,0,1197.0,82.0,113.0,0.0,3995.0,1745.0,1510.0,5.0,37.0
1950000,2018,69000,1,0,2393.0,148.0,343.0,1.0,4735.0,1830.0,1795.0,7.0,55.0
675000,2017,73315,1,0,1373.0,91.0,130.0,0.0,4490.0,1730.0,1485.0,5.0,43.0
1898999,2015,47000,0,1,1991.0,181.0,300.0,0.0,4630.0,1777.0,1432.0,5.0,52.00735218508998
2650000,2017,75000,0,1,1995.0,188.0,400.0,2.0,4439.0,1821.0,1612.0,5.0,51.0
1390000,2017,56000,0,0,1798.0,177.0,250.0,0.0,4670.0,1814.0,1476.0,5.0,50.0
575000,2015,85000,1,0,1461.0,84.0,200.0,0.0,4331.0,1822.0,1671.0,5.0,50.0
591000,2017,20281,1,0,1197.0,82.0,115.0,0.0,3985.0,1734.0,1505.0,5.0,45.0
459999,2018,22541,1,0,999.0,67.0,91.0,0.0,3679.0,1579.0,1478.0,5.0,28.0
1075000,2019,30672,0,0,1462.0,103.0,138.0,0.0,4490.0,1730.0,1485.0,5.0,43.0
1695000,2019,20856,1,0,1956.0,138.0,350.0,0.0,4598.0,1894.0,1706.0,5.0,50.0
944999,2017,41417,0,0,1197.0,103.0,175.0,0.0,3971.0,1682.0,1469.0,5.0,45.0
569000,2016,11471,0,0,998.0,67.0,90.0,0.0,3695.0,1600.0,1560.0,5.0,35.0
449000,2019,3583,1,0,796.0,47.0,69.0,0.0,3445.0,1515.0,1475.0,5.0,35.0
894999,2018,21365,0,0,1197.0,82.0,113.0,0.0,3995.0,1745.0,1510.0,5.0,37.0
